,name,scores,latitude,longitude,url
0,CARD Hôtel,"9,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/card.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=995965303_372483482_0_2_0&highlighted_blocks=995965303_372483482_0_2_0&matching_block_id=995965303_372483482_0_2_0&sr_pri_blocks=995965303_372483482_0_2_0__129350&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
1,Campanile Bordeaux Ouest - Mérignac Aéroport,"7,8",48.6463114,7.3951882,https://www.booking.com/hotel/fr/campanile-bordeaux-merignac.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=21943804_250732627_2_42_0&highlighted_blocks=21943804_250732627_2_42_0&matching_block_id=21943804_250732627_2_42_0&sr_pri_blocks=21943804_250732627_2_42_0__37600&from=searchresults#hotelTmpl
2,"The Originals City, Hôtel L'Hippocampe, Sète Balaruc-le-Vieux","8,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/hotelkyriadsetebalaruc.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=5188301_380129936_2_2_0&highlighted_blocks=5188301_380129936_2_2_0&matching_block_id=5188301_380129936_2_2_0&sr_pri_blocks=5188301_380129936_2_2_0__36680&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3,Chateau de Briançon,"8,9",48.6463114,7.3951882,https://www.booking.com/hotel/fr/chateau-de-briancon.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=110526301_99401548_2_2_0&highlighted_blocks=110526301_99401548_2_2_0&matching_block_id=110526301_99401548_2_2_0&sr_pri_blocks=110526301_99401548_2_2_0__34563&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4,Domitys - L'Atlas,"8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/domitys-l-39-atlas.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=657436902_381556842_2_2_0&highlighted_blocks=657436902_381556842_2_2_0&matching_block_id=657436902_381556842_2_2_0&sr_pri_blocks=657436902_381556842_2_2_0__65508&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5,Hôtel Vauban Briançon Serre Chevalier,"8,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/vauban.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=5383626_88984624_2_0_0&highlighted_blocks=5383626_88984624_2_0_0&matching_block_id=5383626_88984624_2_0_0&sr_pri_blocks=5383626_88984624_2_0_0__66000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
6,Hôtel Némo Pau Aéroport,"8,4",48.6463114,7.3951882,https://www.booking.com/hotel/fr/nemo.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=59281605_381555301_2_1_0&highlighted_blocks=59281605_381555301_2_1_0&matching_block_id=59281605_381555301_2_1_0&sr_pri_blocks=59281605_381555301_2_1_0__35500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
7,Domaine de Saulon,"8,2",48.6463114,7.3951882,https://www.booking.com/hotel/fr/chateau-de-saulon.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=23860124_379530907_0_42_0&highlighted_blocks=23860124_379530907_0_42_0&matching_block_id=23860124_379530907_0_42_0&sr_pri_blocks=23860124_379530907_0_42_0__76925&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
8,Hôtel Brésil Opéra SPA,"8,2",48.6463114,7.3951882,https://www.booking.com/hotel/fr/bresil-opera.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=28711810_95106157_0_0_0&highlighted_blocks=28711810_95106157_0_0_0&matching_block_id=28711810_95106157_0_0_0&sr_pri_blocks=28711810_95106157_0_0_0__109736&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9,"Hôtel Causse Comtal Rodez, The Originals Relais","8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/causse-comtal.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=17746401_88556345_0_42_0&highlighted_blocks=17746401_88556345_0_42_0&matching_block_id=17746401_88556345_0_42_0&sr_pri_blocks=17746401_88556345_0_42_0__53102&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
10,Appart'hotel le Pèlerin,"8,4",48.6463114,7.3951882,https://www.booking.com/hotel/fr/tara.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=41480705_104169042_4_2_0&highlighted_blocks=41480705_104169042_4_2_0&matching_block_id=41480705_104169042_4_2_0&sr_pri_blocks=41480705_104169042_4_2_0__51300&from=searchresults#hotelTmpl
11,Paxton Paris MLV,"8,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/paxton-residence-spa.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=5426314_91902903_2_2_0&highlighted_blocks=5426314_91902903_2_2_0&matching_block_id=5426314_91902903_2_2_0&sr_pri_blocks=5426314_91902903_2_2_0__70880&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
12,La Maison Verneuil,"8,7",48.6463114,7.3951882,https://www.booking.com/hotel/fr/quarre-de-verneuil.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=476370319_380548582_4_2_0&highlighted_blocks=476370319_380548582_4_2_0&matching_block_id=476370319_380548582_4_2_0&sr_pri_blocks=476370319_380548582_4_2_0__36600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
13,Fuzei Hôtel Lorient-Lanester,"8,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/gwenva.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=186952202_357548506_2_34_0&highlighted_blocks=186952202_357548506_2_34_0&matching_block_id=186952202_357548506_2_34_0&sr_pri_blocks=186952202_357548506_2_34_0__42500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
14,"Brit Hotel, Spa & Restaurant - Colmar Est","8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/relais-du-ried.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=5390913_88559342_0_2_0&highlighted_blocks=5390913_88559342_0_2_0&matching_block_id=5390913_88559342_0_2_0&sr_pri_blocks=5390913_88559342_0_2_0__112827&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
15,MOB House,"8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/mob-house-paris.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=741767001_329183759_2_2_0&highlighted_blocks=741767001_329183759_2_2_0&matching_block_id=741767001_329183759_2_2_0&sr_pri_blocks=741767001_329183759_2_2_0__61625&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
16,MOB HOTEL Paris Les Puces,"8,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/mob-paris-les-puces.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=247760201_103125868_2_10_0&highlighted_blocks=247760201_103125868_2_10_0&matching_block_id=247760201_103125868_2_10_0&sr_pri_blocks=247760201_103125868_2_10_0__64350&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
17,Hotel Le Dauphin,"8,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/du-dauphin-honfleur.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=2251926_258856705_0_2_0&highlighted_blocks=2251926_258856705_0_2_0&matching_block_id=2251926_258856705_0_2_0&sr_pri_blocks=2251926_258856705_0_2_0__28000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
18,Edgar Suites - Meudon-la-Forêt,"9,3",48.6463114,7.3951882,https://www.booking.com/hotel/fr/edgar-suites-meudon-la-foret.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=871429601_362898322_4_0_0&highlighted_blocks=871429601_362898322_4_0_0&matching_block_id=871429601_362898322_4_0_0&sr_pri_blocks=871429601_362898322_4_0_0__37856&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
19,Hotel Eiffel Blomet,"8,7",48.6463114,7.3951882,https://www.booking.com/hotel/fr/eiffel-blomet.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=226407302_99106673_0_2_0&highlighted_blocks=226407302_99106673_0_2_0&matching_block_id=226407302_99106673_0_2_0&sr_pri_blocks=226407302_99106673_0_2_0__103300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
20,Chateau Du Boisniard,"9,0",48.6463114,7.3951882,https://www.booking.com/hotel/fr/chateau-du-boisniard.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=29480405_88557876_2_42_0&highlighted_blocks=29480405_88557876_2_42_0&matching_block_id=29480405_88557876_2_42_0&sr_pri_blocks=29480405_88557876_2_42_0__68850&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
21,Hôtel Restaurant PLATANES,"8,5",48.6463114,7.3951882,https://www.booking.com/hotel/fr/les-platanes-etauliers1.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=1003848103_374016952_2_41_0&highlighted_blocks=1003848103_374016952_2_41_0&matching_block_id=1003848103_374016952_2_41_0&sr_pri_blocks=1003848103_374016952_2_41_0__67140&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
22,Résidence AURMAT - Appart - Hôtel - Boulogne - Paris,"8,2",48.6463114,7.3951882,https://www.booking.com/hotel/fr/residence-aurmat.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=29288532_375624023_4_0_0&highlighted_blocks=29288532_375624023_4_0_0&matching_block_id=29288532_375624023_4_0_0&sr_pri_blocks=29288532_375624023_4_0_0__85140&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
23,Lodge Les Merisiers,"8,2",48.6463114,7.3951882,https://www.booking.com/hotel/fr/lodge-les-merisiers.fr.html?label=fr-fr-booking-desktop-DCpBIW3k2*WIo8XuzMdB9AS652796013276%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056191%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2023-12-11&checkout=2023-12-16&dest_id=73&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=34099af1a98a02df&srepoch=1700690534&all_sr_blocks=685101003_374743553_4_1_0&highlighted_blocks=685101003_374743553_4_1_0&matching_block_id=685101003_374743553_4_1_0&sr_pri_blocks=685101003_374743553_4_1_0__114075&from=searchresults#hotelTmpl
